item,CFeature0,CFeature1,CFeature2,CFeature3,CFeature4,CFeature5,CFeature6,CFeature7,CFeature8,CFeature9,CFeature10,CFeature11,CFeature12,CFeature13,CFeature14,CFeature15
CC0101EN,0.00017853556,-0.066468574,-0.039851777,0.076575056,0.0042650253,0.02875166,0.03254846,-0.010068598,-0.0012137407,0.012929559,-0.041643407,0.074152716,-0.08505473,-0.0031936248,-0.13746248,-0.00043380313
CL0101EN,-0.013563597,-0.009728537,0.009777153,0.053337038,0.044204824,-0.0041427976,-0.043374095,-0.059302714,0.111449525,-0.009364728,-0.041403208,0.04671166,0.036019314,0.09977361,-0.098197564,0.0016375314
ML0120ENv3,-0.04854851,-0.056843333,-0.029791458,0.008809323,0.07867494,0.16386251,0.025153102,0.126594,-0.053932764,0.002967646,-0.11933516,-0.057969835,-0.07951942,0.037132252,-0.038562145,0.1791357
BD0211EN,0.000988249,0.031309053,-0.023056535,-0.07156244,0.048848305,-0.0031487045,0.0005796956,0.013914263,-0.0072194682,-0.021143766,-0.019784428,0.08617381,0.019136127,-0.010219441,0.034009684,-0.013568868
DS0101EN,-0.026713423,0.048089977,-0.010585252,0.01847299,0.074788265,-0.025917914,0.018338341,0.01335896,0.009294642,-0.03114408,-0.039660178,-0.041878056,0.015354152,-0.020958254,0.0026198074,0.05736319
ST0101EN,0.029489227,-0.033657443,0.18982708,0.04844646,-0.0066760704,0.012695199,0.014765528,-0.07249809,0.0403942,-0.060549937,-0.06705495,0.04374026,0.006684862,0.008634322,0.00046975838,0.07038836
DS0301EN,-0.03352125,0.025922278,-0.04308245,-0.06389717,-0.0063198376,0.010497624,-0.011512956,-0.019254068,0.06629808,-0.022709247,0.012038359,-0.006986016,0.025524622,0.020168899,0.039995495,-0.027597317
DS0105EN,0.01948321,-0.004570077,-0.02268841,-0.03980224,0.046072893,-0.0425981,-0.01622138,-0.021343645,0.080267854,0.06068891,-0.04445029,-0.0124534685,-0.017661009,-0.02550476,-0.026197547,0.03542026
BD0141EN,0.018066773,0.09685279,0.015154874,-0.10955786,0.10404315,-0.061515354,-0.028100325,0.06650646,-0.05892502,0.06000605,-0.082022086,0.010257577,-0.03583253,-0.05093939,-0.01781811,-0.0224129
CO0201EN,0.03332021,0.019594103,-0.02139974,0.08420893,0.064003445,-0.015432251,0.056448705,-0.0113986,-0.092289016,0.00829176,0.017660331,-0.047463264,0.03024941,0.15321787,0.094210885,0.035996832
CB0103EN,0.05926106,0.019987376,-0.091841646,0.076237276,-0.037886236,0.06257289,-0.019365413,0.124477625,0.0033847606,-0.06754463,-0.095537245,-0.045977097,0.07513289,0.090953805,0.03162727,-0.014317679
DV0101EN,-0.024802683,-0.037949868,-0.066359,0.025323585,0.058417507,-0.028336022,-0.096726656,0.01514601,0.0028046705,-0.063981764,0.031746063,0.089455485,-0.025411243,-0.014969789,-0.0366149,0.057134256
DS0103EN,0.010652173,0.007707948,-0.014844312,-0.018354578,0.029173845,0.047191937,-0.0683199,-0.0065063187,-0.036583774,0.007965273,0.0070640296,-0.0073252814,0.0648936,-0.05504742,-0.086658925,-0.00570167
BD0123EN,-0.034553368,-0.05737992,-0.0038724842,-0.007850323,0.061339032,-0.013217414,0.046055287,0.04105545,0.0027497495,0.0750048,-0.019392496,0.057996366,0.014364467,0.052879695,0.05124926,0.09249223
BC0101EN,-0.017038021,-0.04856262,-0.017418075,-0.0053428914,0.08163079,0.050278198,0.008382578,-0.0022011092,-0.04813426,0.06885086,0.04014429,0.034294322,0.046435162,-0.021286787,0.04719026,0.100787036
TA0105EN,0.03965006,-0.030746277,0.060919356,-0.079395615,0.02033108,-0.048002694,0.049999863,-0.046813503,-0.02268014,-0.07147867,-0.068024665,0.033266943,0.024491712,-0.0034208791,0.0034007253,0.042313613
ML0151EN,-0.066234134,-0.05592617,-0.032663506,0.010957305,-0.032559652,-0.020339862,0.009195154,0.052042857,-0.050746195,0.06574652,0.02996246,0.104319096,0.08256094,-0.0055573,0.044149358,0.030086074
BD0101EN,0.014511578,0.011460031,-0.0137501815,-0.010224765,0.073223,-0.008754389,-0.010154888,-0.01071941,-0.04325116,-0.006883824,-0.01455168,0.0032811898,-0.03379266,0.0045681065,-0.010916298,-0.014101746
BD0111EN,0.051575184,-0.046172272,-0.00544435,0.034605503,0.046091262,0.024739394,0.010684719,-0.0071245786,-0.003815211,0.061097343,0.09957806,-0.035724506,0.0074778083,0.013182513,-0.03870368,0.0026171338
BC0201EN,0.045502514,-0.095572695,-0.02163867,0.05263638,0.043219455,0.022901285,-0.057368375,-0.061917957,0.041549496,0.0023772055,0.06060081,-0.041107617,0.06207863,-0.0062949457,-0.06493068,-0.03964671
ML0122ENv1,-0.09538014,-0.10361841,-0.0017680932,-0.011643216,-0.12678722,-0.10420616,0.021811932,0.050773427,-0.040728137,-0.020294745,0.011426829,-0.1375213,-0.009921138,0.10142714,-0.0064171976,-0.09400635
BD0131EN,0.051387243,-0.02317194,-0.032608714,-0.014930246,-0.03125999,-0.03869014,0.1374669,-0.098381236,0.031650983,0.0076164603,-0.006756591,-0.061178703,0.009674555,-0.0023552976,0.017131422,-0.007840668
BD0121EN,-0.108759455,-0.028507467,-0.0047030416,0.10525354,-0.023719434,-0.015005548,-0.033186164,-0.04098926,-0.09511583,0.04019904,-0.030915689,0.04337881,-0.0103264125,0.0035087452,0.029823668,-0.0040516285
